,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
82,0.0578,0.329,0.444,0.0352,0.113,-9.973,0.0417,162.279,0.225
83,0.000813,0.645,0.705,0.0,0.128,-5.008,0.299,137.133,0.376
84,0.164,0.807,0.564,0.0,0.0804,-7.938,0.319,96.004,0.225
85,0.016,0.576,0.724,0.0,0.107,-5.147,0.0274,93.029,0.34
86,0.0373,0.866,0.454,1.49e-06,0.275,-9.383,0.0414,99.985,0.368
87,0.0562,0.694,0.891,0.0,0.561,-2.94,0.0949,97.939,0.563
88,0.517,0.819,0.654,0.0,0.0996,-6.665,0.136,133.503,0.455
89,0.0586,0.731,0.445,1.96e-05,0.14,-8.418,0.0533,117.97,0.106
90,0.892,0.264,0.285,0.000471,0.344,-15.208,0.0385,84.825,0.0776
91,0.996,0.609,0.102,0.973,0.0993,-26.633,0.0821,108.062,0.62
92,0.0883,0.955,0.646,0.0,0.215,-5.924,0.26,125.132,0.691
93,0.0481,0.757,0.848,0.0,0.121,-4.234,0.335,139.995,0.686
94,0.996,0.64,0.011,0.954,0.111,-28.455,0.0583,64.061,0.793
95,0.166,0.616,0.989,0.0,0.172,-1.698,0.0483,95.036,0.902
96,0.63,0.409,0.277,0.0,0.173,-10.276,0.0421,80.062,0.534
97,0.0307,0.8,0.562,0.0,0.243,-7.366,0.0961,132.081,0.147
98,0.995,0.81,0.0419,0.937,0.109,-20.612,0.0645,104.964,0.321
99,0.00452,0.566,0.906,0.0,0.21,-5.092,0.0642,83.0,0.787
100,0.0263,0.525,0.846,0.000985,0.0764,-4.638,0.0302,112.22,0.757
101,0.0981,0.663,0.842,0.0,0.45,-3.42,0.104,174.024,0.433
102,0.221,0.688,0.947,0.0,0.284,-4.097,0.0544,136.031,0.878
103,0.356,0.747,0.271,0.913,0.108,-15.277,0.0822,142.011,0.143
104,0.111,0.264,0.609,0.311,0.322,-10.992,0.0655,185.875,0.862
105,0.0677,0.892,0.651,0.0,0.153,-5.463,0.108,138.974,0.44
106,0.602,0.286,0.217,0.099,0.104,-18.805,0.0336,138.225,0.0389
107,0.133,0.477,0.808,0.00013,0.176,-2.522,0.0571,100.004,0.433
108,0.954,0.62,0.148,0.0,0.0968,-13.124,0.078,114.627,0.579
109,0.0656,0.739,0.863,0.0,0.254,-3.667,0.139,173.946,0.773
110,0.0541,0.859,0.563,0.0,0.0685,-6.635,0.112,119.934,0.412
111,0.00818,0.944,0.613,0.0,0.0893,-5.999,0.291,120.102,0.328
112,0.268,0.747,0.573,0.0,0.302,-6.562,0.295,90.036,0.551
113,0.0201,0.281,0.802,0.000425,0.436,-9.423,0.0498,140.65,0.5
114,0.000592,0.929,0.563,0.0,0.244,-7.428,0.49,129.957,0.353
115,0.0797,0.843,0.52,5.09e-06,0.0944,-9.629,0.541,140.07,0.231
116,0.274,0.884,0.903,0.000372,0.302,-3.672,0.2,75.022,0.839
117,0.363,0.773,0.62,2.37e-06,0.175,-5.252,0.103,84.975,0.624
118,0.0558,0.833,0.673,0.0,0.112,-7.119,0.134,139.972,0.63
119,0.0688,0.743,0.924,0.0,0.112,-1.501,0.0642,107.995,0.702
120,0.00169,0.361,0.97,0.00163,0.357,-4.817,0.284,179.017,0.254
121,0.0102,0.729,0.989,4.45e-05,0.443,-4.613,0.049,126.47,0.84
122,0.448,0.91,0.604,0.0,0.0863,-4.392,0.082,110.075,0.807
123,0.0834,0.327,0.588,0.0,0.104,-6.611,0.0336,161.074,0.329
124,0.00269,0.581,0.656,2.78e-06,0.101,-4.891,0.0294,108.033,0.338
125,0.323,0.826,0.773,0.0,0.143,-4.218,0.0524,126.899,0.761
126,0.438,0.784,0.753,0.0,0.167,-4.099,0.213,116.959,0.532
127,0.583,0.858,0.544,0.00109,0.0707,-9.289,0.0751,108.217,0.874
128,0.508,0.827,0.66,0.403,0.0756,-9.669,0.0337,113.449,0.904
129,0.159,0.577,0.756,0.000232,0.249,-5.82,0.115,176.75,0.663
130,0.0109,0.611,0.701,9.83e-06,0.0994,-5.235,0.0248,142.027,0.604
131,0.00488,0.934,0.873,0.0,0.0832,-4.707,0.309,139.997,0.721
132,0.229,0.9,0.538,0.843,0.287,-7.879,0.0343,95.508,0.713
133,0.519,0.879,0.574,8.76e-06,0.144,-5.602,0.391,144.911,0.346
134,0.146,0.522,0.765,0.0,0.0866,-5.395,0.193,180.065,0.455
135,0.23,0.651,0.695,0.0,0.144,-3.218,0.0487,123.008,0.569
136,0.462,0.555,0.43,0.000191,0.0869,-9.105,0.0295,147.613,0.274
137,0.0397,0.54,0.821,0.0,0.423,-3.789,0.0873,148.798,0.685
138,0.239,0.936,0.523,0.0,0.117,-6.71,0.0597,119.889,0.699
139,0.021,0.542,0.906,0.00043,0.377,-4.213,0.0491,120.014,0.515
140,0.918,0.579,0.259,0.913,0.18,-13.81,0.0507,137.51,0.315
141,0.388,0.204,0.0715,0.979,0.336,-24.566,0.0437,112.814,0.257
142,0.784,0.748,0.0386,0.229,0.106,-35.267,0.0747,94.428,0.469
143,0.942,0.571,0.205,0.901,0.578,-18.127,0.0427,107.132,0.571
144,0.00799,0.686,0.687,7.33e-05,0.0781,-7.794,0.0555,90.084,0.88
145,0.942,0.571,0.205,0.901,0.578,-18.127,0.0427,107.132,0.571
146,0.808,0.552,0.35,0.852,0.114,-14.743,0.0332,174.124,0.0389
147,0.729,0.492,0.626,0.533,0.0509,-8.26,0.0349,86.016,0.524
148,0.119,0.653,0.675,0.0,0.483,-6.308,0.213,92.832,0.797
